Referrer,Downloads
repository.upenn.edu/ace/vol1/iss3/8/,3
https%3A%2F%2Fscholar.google.es%2Fscholar%3Fas_ylo%3D2019%26q%3Dhuman%2Bcentered%2Bdesign%26hl%3Des%26as_sdt%3D0%2C5,3
www.google.ca/,3
scholar.google.com.br/,3
repository.upenn.edu/ace/vol1/iss1/5/,2
repository.upenn.edu/ace/vol1/iss2/10/,2
repository.upenn.edu/ace/vol1/iss3/11/,2
repository.upenn.edu/ace/vol1/iss2/4/,2
repository.upenn.edu/ace/vol1/iss2/5/,2
repository.upenn.edu/ace/vol1/iss3/15/,2
repository.upenn.edu/ace/vol1/iss1/9/,2
repository.upenn.edu/ace/vol1/iss3/9/,2
repository.upenn.edu/ace/vol1/iss1/8/,2
https%3A%2F%2Fscholar.google.com%2Fscholar%3Fq%3D%252Bintitle%253A%2522Building%2Ba%2BSuccessful%2BStartup%2BTeam%2522,2
repository.upenn.edu/ace/vol1/iss4/3/,2
repository.upenn.edu/ace/vol1/iss2/9/,2
search.yahoo.com/,2
scholar.google.nl/,2
scholar.google.de/,2
int.search.myway.com/search/GGmain.jhtml,2
home.www.upenn.edu/searchdir,2
repository.upenn.edu/ace/vol1/iss2/2/,2
search.yahoo.co.jp/,2
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dorphan%2Bdrug%2Bcredit%2Bonly%2Bfor%2Bsponsor%26form%3DIENTHT%26mkt%3Den-us%26httpsmsn%3D1%26msnews%3D1%26refig%3D20e15d2b2479403bbde3acbf7e47884e%26sp%3D-1%26pq%3Dorphan%2Bdrug%2Bcredit%2Bonly%2Bfor%2Bsponsor%26sc%3D0-35%26qs%3Dn%26sk%3D%26cvid%3D20e15d2b2479403bbde3acbf7e47884e,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dphases%2Bof%2Btrials%2Bfor%2Borphan%2Bdrugs%26form%3DEDGTCT%26qs%,1
repository.upenn.edu/ace/vol1/iss3/3/,1
https%3A%2F%2Fcse.google.com%2Fcse%3Fcx%3Dpartner-pub-1315136665270090%3A2862850106%26q%3Dinnate%2520bias%2520%26oq%3Dinnate%2520bias%2520%26gs_l%3Dpartner-generic.12...7448.8643.0.12061.0.0.0.0.0.0.0.0..0.0.gsnos%252Cn%253D13...0.0....34.partner-generic..0.0.0.,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dregulatory%2Bapproval%2Bcosts%2Bof%2Borphan%2Bdrugs%26qs%3Dn%26form%3DQBRE%26sp%3D-1%26pq%3Dregulatory%2Bapproval%2Bcosts%2Bof%2Borphan%2Bdrugs%26sc%3D0-41%26sk%3D%26cvid%3D1D2F1134B6D94D60A1EA8280C31DA2C6,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dreimbursement%2Bgaps%2Bmedical%2Bdevices%26form%3DEDGSPH%26mkt%3Den-us%26httpsmsn%3D1%26msnews%3D1%26plvar%3D0%26refig%3D5cd068ca116d4a56ba2e521c4212a5f2%26sp%3D-1%26ghc%3D1%26pq%3Dreimbursement%2Bgaps%2Bmedical%2Bdevices%26sc%3D1-34%26qs%3Dn%26sk%3D%26cvid%3D5cd068ca116d4a56ba2e521c4212a5f2,1
medium.com/@JPrendergass/resources-for-philadelphia-area-startups-ed47943bcdea,1
plagscan.com,1
www.google.se/,1
home.www.upenn.edu/,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3DODA%2520accelerated%2520approval%26qs%3Dn%26form%3DQBRE%26sp%3D-1%26pq%3Doda%2520accelerated%2520approval%26sc%3D1-24%26sk%3D%26cvid%3D725007C249E04C21953776F38DCEFE47,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3DOrphan%2Bdrug%2Bonly%2Bavialbe%2Bfor%2Bdrugs%2Bin%2Bhuman%2Btest%2Bphase%253F%26src%3DIE-SearchBox%26FORM%3DIESR4S,1
repository.upenn.edu/ace/vol1/iss3/12/,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3DReimbursement%2Bstrategy%2Bfor%2BPMA%2Bmedical%2Bdevices%26form%3DEDNTHT%26mkt%3Den-us%26httpsmsn%3D1%26msnews%3D1%26plvar%3D0%26refig%3D6705857ce2c54ba0c0e66d3f211021bc%26sp%3D-1%26ghc%3D1%26pq%3Dreimbursement%2Bstrategy%2Bfor%2Bpma%2Bmedical%2Bdevices%26sc%3D1-46%26qs%3Dn%26sk%3D%26cvid%3D6705857ce2c54ba0c0e66d3f211021bc,1
repository.upenn.edu/ace/vol1/iss3/14/,1
repository.upenn.edu/ace/vol1/iss5/,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dfda%2Bdrug%2Bapproval%2Bprocess%2Bchart%26first%3D11%26FORM%3DPERE,1
https%3A%2F%2Fcse.google.com%2Fcse%3Fcx%3Dpartner-pub-1315136665270090%3A2862850106%26q%3Dinnate%2520bias%2520%26oq%3Dinnate%2520bias%2520%26gs_l%3Dpartner-generic.12...3794.5370.0.9289.0.0.0.0.0.0.0.0..0.0.gsnos%252Cn%253D13...0.0....34.partner-generic..0.0.0.,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dfda%2Borphan%2Bdrug%2Bapproval%2Bprocess%26FORM%3DQSRE2,1
repository.upenn.edu/ace/vol1/iss5/5/,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dhuman%2Bcentered%2Bdesign%2Binterviewing%26form%3DEDGTCT%26qs%3DRI%26cvid%3D500b320081e84856bdbd70a305791a1d%26refig%3De7c5cd52436e4feee57012dfead7e64e%26cc%3DUS%26setlang%3Den-US,1
scholar.google.co.uk/,1
scholar.google.com.tr/,1
scholar.google.com/scholar,1
https%3A%2F%2Fwww.bing.com%2Fsearch%3Fq%3Dorphan%2Bdrug%2Bapproval%2Btimeline%26FORM%3DQSRE2,1
www.google.ca/url,1
www.google.co.in/,1
www.google.co.jp/,1
www.google.co.jp/url,1
www.google.co.uk/url,1
www.google.com.au/,1
www.google.de/,1
www.google.gr/,1
www.google.ie/,1
www.google.mk/,1
repository.upenn.edu/ace/vol1/iss2/7/,1
